Commune,proportion23_6,prop_acc_autouroute,age,Hiver,Automne,Printemps,Ete,Plein_jour,Crepuscule_ou_aube,Nuit_s_eclairage_public,Nuit_a_eclairage_public_n_allume,Nuit_a_eclairage_public_allume,M,F,Conducteur,Passager,Pieton,prop_acc_deux_roues,prop_acc_quatre_roues,prop_acc_bus_train,Superficie,prop_chaumage,prop_actif,score_norm,score_bin,score_multi
78668,0.0,0.0,61.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,11.79,0.05822974347648186,0.5054958202802348,0.35462826976580825,0,2
62356,0.0,0.0,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,7.95,0.037641154328732745,0.4968632371392723,0.4691057102310214,1,2
83143,0.0,0.0,38.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,0.83,0.0,39.34,0.0603448275862069,0.41006523765144454,0.7092313930821195,1,3
48021,0.0,0.0,75.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,24.19,0.0641025641025641,0.4679487179487182,0.2519371746949009,0,1
82152,0.0,0.0,69.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,4.85,0.07658377160915628,0.44692575143506286,0.4148637066424948,1,2
70085,0.0,0.0,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.62,0.033823529411764704,0.5367647058823529,0.0,0,1
60541,0.0,0.5,30.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,3.0,4.0,0.0,0.33,0.67,0.0,4.83,0.056179775280898875,0.5421348314606742,0.43211774972892086,1,2
26299,0.0,0.0,54.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,10.78,0.05714285714285714,0.38095238095238093,0.4691057102310214,1,2
29071,0.0,0.0,39.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,22.75,0.05878564029951022,0.46286427054661433,0.07892226449349798,0,1
62233,0.0,0.0,39.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.25,0.75,0.0,16.72,0.056085104230791646,0.4817716089223956,0.427375326564528,1,2
69039,0.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,14.43,0.05568721488611571,0.5276580597421932,0.5358522338816116,1,2
62560,0.0,0.33,29.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0,0.0,2.0,0.33,0.67,0.0,13.46,0.0741858812063014,0.43180113864538266,0.4963740604679541,1,2
37117,0.0,0.0,59.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,29.59,0.05142857142857143,0.4594285714285714,0.07892226449349798,0,1
40273,0.0,0.0,47.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,45.35,0.04778393351800554,0.4745498614958449,0.2839150591867106,0,1
48121,0.0,0.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.09,0.034632034632034646,0.5151515151515146,0.2519371746949009,0,1
82025,0.0,0.0,69.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.5,0.5,0.0,20.39,0.048851562303088444,0.5027021464387774,0.33085943918839883,0,1
56258,0.0,0.0,57.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.2,0.06014693669785734,0.3316824335766856,0.2839150591867106,0,1
76026,0.0,0.0,66.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,14.68,0.06301306809681928,0.43763390376355615,0.17462954231800892,0,1
